node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
101,4.406409,2.228337,14.000000,3.456000,3.840000,False,False
102,4.450080,2.222533,14.000000,3.456000,3.840000,False,False
103,4.493750,2.216606,14.000000,3.456000,3.840000,False,False
104,4.537420,2.210551,14.000000,3.456000,3.840000,False,False
105,4.581091,2.204364,14.000000,3.456000,3.840000,False,False
106,4.624761,2.198039,14.000000,3.456000,3.840000,False,False
107,4.668432,2.191573,14.000000,3.456000,3.840000,False,False
108,4.712102,2.184435,14.000000,3.456000,3.840000,False,False
109,4.774321,2.180080,14.000000,3.456000,3.840000,False,False
110,4.817992,2.186344,14.000000,3.456000,3.840000,False,False
111,4.861662,2.200049,14.000000,3.456000,3.840000,False,False
112,4.905332,2.214063,14.000000,3.456000,3.840000,False,False
113,4.949003,2.228370,14.000000,3.456000,3.840000,False,False
114,4.992673,2.242969,14.000000,3.456000,3.840000,False,False
115,5.036344,2.257857,14.000000,3.456000,3.840000,False,False
116,5.080014,2.273030,14.000000,3.456000,3.840000,False,False
117,5.123684,2.288487,14.000000,3.456000,3.840000,False,False
118,5.167355,2.304222,14.000000,3.456000,3.840000,False,False
119,5.211025,2.320234,14.000000,3.456000,3.840000,False,False
120,5.254696,2.336517,14.000000,3.456000,3.840000,False,False
121,5.298366,2.353068,14.000000,3.456000,3.840000,False,False
122,5.342037,2.369883,14.000000,3.456000,3.840000,False,False
123,5.385707,2.386958,14.000000,3.456000,3.840000,False,False
124,5.429377,2.404288,14.000000,3.456000,3.840000,False,False
125,5.473048,2.421869,14.000000,3.456000,3.840000,False,False
126,5.516718,2.439660,14.000000,3.456000,3.840000,False,False
127,5.559960,2.456422,14.000000,3.456000,3.840000,False,False
128,5.603630,2.470371,14.000000,3.456000,3.840000,False,False
129,5.647300,2.482700,14.000000,3.456000,3.840000,False,False
130,5.690971,2.495180,14.000000,3.456000,3.840000,False,False
131,5.734641,2.507816,14.000000,3.456000,3.840000,False,False
132,5.778312,2.520606,14.000000,3.456000,3.840000,False,False
133,5.821982,2.533548,14.000000,3.456000,3.840000,False,False
134,5.865652,2.546642,14.000000,3.456000,3.840000,False,False
135,5.909323,2.559884,14.000000,3.456000,3.840000,False,False
136,5.952993,2.573274,14.000000,3.456000,3.840000,False,False
137,5.996664,2.586809,14.000000,3.456000,3.840000,False,False
138,6.040334,2.600488,14.000000,3.456000,3.840000,False,False
139,6.084005,2.614309,14.000000,3.456000,3.840000,False,False
140,6.127675,2.628270,14.000000,3.456000,3.840000,False,False
141,6.171345,2.642369,14.000000,3.456000,3.840000,False,False
142,6.215016,2.656605,14.000000,3.456000,3.840000,False,False
143,6.258686,2.670975,14.000000,3.456000,3.840000,False,False
144,6.302357,2.685477,14.000000,3.456000,3.840000,False,False
145,6.346027,2.700110,14.000000,3.456000,3.840000,False,False
146,6.389698,2.714872,14.000000,3.456000,3.840000,False,False
147,6.433368,2.729760,14.000000,3.456000,3.840000,False,False
148,6.477038,2.744772,14.000000,3.456000,3.840000,False,False
149,6.520709,2.759641,14.000000,3.456000,3.840000,False,False
150,6.560647,2.772048,14.000000,3.456000,3.840000,False,False
151,6.604317,2.779498,14.000000,3.456000,3.840000,False,False
152,6.647988,2.784268,14.000000,3.456000,3.840000,False,False
153,6.691658,2.789072,14.000000,3.456000,3.840000,False,False
154,6.735329,2.793914,14.000000,3.456000,3.840000,False,False
155,6.778999,2.798795,14.000000,3.456000,3.840000,False,False
156,6.822669,2.803713,14.000000,3.456000,3.840000,False,False
157,6.866340,2.808670,14.000000,3.456000,3.840000,False,False
158,6.910010,2.813665,14.000000,3.456000,3.840000,False,False
159,6.953681,2.818698,14.000000,3.456000,3.840000,False,False
160,6.997351,2.823769,14.000000,3.456000,3.840000,False,False
161,7.041022,2.828878,14.000000,3.456000,3.840000,False,False
162,7.084692,2.834025,14.000000,3.456000,3.840000,False,False
163,7.128362,2.839211,14.000000,3.456000,3.840000,False,False
164,7.172033,2.844434,14.000000,3.456000,3.840000,False,False
165,7.215703,2.849695,14.000000,3.456000,3.840000,False,False
166,7.259374,2.854994,14.000000,3.456000,3.840000,False,False
167,7.303044,2.860331,14.000000,3.456000,3.840000,False,False
168,7.346715,2.865706,14.000000,3.456000,3.840000,False,False
169,7.390385,2.871119,14.000000,3.456000,3.840000,False,False
170,7.434055,2.876570,14.000000,3.456000,3.840000,False,False
171,7.477726,2.882058,14.000000,3.456000,3.840000,False,False
172,7.521396,2.887584,14.000000,3.456000,3.840000,False,False
173,7.565067,2.893147,14.000000,3.456000,3.840000,False,False
174,7.608737,2.898748,14.000000,3.456000,3.840000,False,False
175,7.652408,2.904387,14.000000,3.456000,3.840000,False,False
176,7.696078,2.910062,14.000000,3.456000,3.840000,False,False
177,7.739748,2.915775,14.000000,3.456000,3.840000,False,False
178,7.783419,2.921526,14.000000,3.456000,3.840000,False,False
179,7.827089,2.927313,14.000000,3.456000,3.840000,False,False
180,7.870760,2.933137,14.000000,3.456000,3.840000,False,False
181,7.914430,2.938998,14.000000,3.456000,3.840000,False,False
182,7.958101,2.944897,14.000000,3.456000,3.840000,False,False
183,8.001771,2.950832,14.000000,3.456000,3.840000,False,False
184,8.045441,2.956803,14.000000,3.456000,3.840000,False,False
185,8.089112,2.962811,14.000000,3.456000,3.840000,False,False
186,8.132782,2.968856,14.000000,3.456000,3.840000,False,False
187,8.176453,2.974936,14.000000,3.456000,3.840000,False,False
188,8.220123,2.981054,14.000000,3.456000,3.840000,False,False
189,8.263794,2.987207,14.000000,3.456000,3.840000,False,False
190,8.307464,2.993396,14.000000,3.456000,3.840000,False,False
191,8.351134,2.999621,14.000000,3.456000,3.840000,False,False
192,8.394805,3.005882,14.000000,3.456000,3.840000,False,False
193,8.438475,3.012131,14.000000,3.456000,3.840000,False,False
