time_h,W_71_m3,W_89_m3,W_150_m3,W_194_m3,W_287_m3,W_349_m3,W_383_m3
1.350000,28838.838,16781.629,0.000,0.000,0.000,0.000,0.000
1.366667,29744.592,17530.405,0.000,0.000,0.000,0.000,0.000
1.383333,30652.609,18283.479,0.000,0.000,0.000,0.000,0.000
1.400000,31562.763,19040.585,0.000,0.000,0.000,0.000,0.000
1.416667,32474.931,19801.476,0.000,0.000,0.000,0.000,0.000
1.433333,33389.000,20565.926,0.000,0.000,0.000,0.000,0.000
1.450000,34304.864,21333.723,0.000,0.000,0.000,0.000,0.000
1.466667,35222.421,22104.673,0.000,0.000,0.000,0.000,0.000
1.483333,36141.579,22878.593,0.000,0.000,0.000,0.000,0.000
1.500000,37062.250,23655.316,4.710,0.000,0.000,0.000,0.000
1.516667,37984.350,24434.682,43.375,0.000,0.000,0.000,0.000
1.533333,38907.803,25216.547,102.118,0.000,0.000,0.000,0.000
1.550000,39832.535,26000.772,174.863,0.000,0.000,0.000,0.000
1.566667,40758.478,26787.231,258.615,0.000,0.000,0.000,0.000
1.583333,41685.569,27575.802,351.494,0.000,0.000,0.000,0.000
1.600000,42613.745,28366.375,452.179,0.000,0.000,0.000,0.000
1.616667,43542.952,29158.844,559.681,0.000,0.000,0.000,0.000
1.633333,44473.134,29953.110,673.225,0.000,0.000,0.000,0.000
1.650000,45404.243,30749.081,792.187,0.000,0.000,0.000,0.000
1.666667,46336.229,31546.670,916.049,0.000,0.000,0.000,0.000
1.683333,47269.049,32345.794,1044.377,0.000,0.000,0.000,0.000
1.700000,48202.660,33146.377,1176.797,0.000,0.000,0.000,0.000
1.716667,49137.023,33948.347,1312.990,0.000,0.000,0.000,0.000
1.733333,50072.099,34751.635,1452.673,0.000,0.000,0.000,0.000
1.750000,51007.854,35556.177,1595.599,0.000,0.000,0.000,0.000
1.766667,51944.253,36361.913,1741.548,0.000,0.000,0.000,0.000
1.783333,52881.266,37168.785,1890.325,0.000,0.000,0.000,0.000
1.800000,53818.861,37976.739,2041.752,0.000,0.000,0.000,0.000
1.816667,54757.011,38785.723,2195.670,0.000,0.000,0.000,0.000
1.833333,55695.690,39595.688,2351.934,0.000,0.000,0.000,0.000
1.850000,56634.871,40406.590,2510.414,0.000,0.000,0.000,0.000
1.866667,57574.530,41218.383,2670.987,0.000,0.000,0.000,0.000
1.883333,58514.646,42031.027,2833.543,0.000,0.000,0.000,0.000
1.900000,59455.196,42844.483,2997.982,0.000,0.000,0.000,0.000
1.916667,60396.160,43658.714,3164.208,0.000,0.000,0.000,0.000
1.933333,61337.518,44473.684,3332.135,0.000,0.000,0.000,0.000
1.950000,62279.252,45289.362,3501.682,0.000,0.000,0.000,0.000
1.966667,63221.345,46105.715,3672.774,0.000,0.000,0.000,0.000
1.983333,64163.780,46922.715,3845.341,0.000,0.000,0.000,0.000
2.000000,65106.542,47740.332,4019.318,5.954,0.000,0.000,0.000
2.016667,66049.615,48558.541,4194.644,41.866,0.000,0.000,0.000
2.033333,66992.986,49377.317,4371.263,95.299,0.000,0.000,0.000
2.050000,67936.641,50196.634,4549.120,161.398,0.000,0.000,0.000
2.066667,68880.567,51016.472,4728.165,237.680,0.000,0.000,0.000
2.083333,69824.754,51836.808,4908.352,322.560,0.000,0.000,0.000
2.100000,70769.188,52657.622,5089.637,414.914,0.000,0.000,0.000
2.116667,71713.860,53478.894,5271.977,513.891,0.000,0.000,0.000
2.133333,72658.759,54300.606,5455.336,618.820,0.000,0.000,0.000
2.150000,73603.875,55122.742,5639.675,729.157,0.000,0.000,0.000
2.166667,74549.199,55945.283,5824.962,844.446,0.000,0.000,0.000
2.183333,75494.723,56768.215,6011.163,964.301,0.000,0.000,0.000
2.200000,76440.438,57591.522,6198.247,1088.390,0.000,0.000,0.000
2.216667,77386.336,58415.190,6386.183,1216.425,0.000,0.000,0.000
2.233333,78332.409,59239.206,6574.940,1348.150,0.000,0.000,0.000
2.250000,79278.651,60063.556,6764.491,1483.341,0.000,0.000,0.000
2.266667,80225.055,60888.228,6954.808,1621.795,0.000,0.000,0.000
2.283333,81171.614,61713.211,7145.867,1763.333,0.000,0.000,0.000
2.300000,82118.321,62538.493,7337.643,1907.789,0.000,0.000,0.000
2.316667,83065.172,63364.063,7530.114,2055.016,0.000,0.000,0.000
2.333333,84012.160,64189.912,7723.258,2204.878,0.000,0.000,0.000
2.350000,84959.281,65016.030,7917.056,2357.250,0.000,0.000,0.000
2.366667,85906.529,65842.406,8111.488,2512.019,0.000,0.000,0.000
2.383333,86853.899,66669.034,8306.535,2669.078,0.000,0.000,0.000
2.400000,87801.386,67495.903,8502.181,2828.330,0.000,0.000,0.000
2.416667,88748.988,68323.007,8698.409,2989.684,0.000,0.000,0.000
2.433333,89696.698,69150.337,8895.203,3153.057,0.000,0.000,0.000
2.450000,90644.514,69977.886,9092.549,3318.370,0.000,0.000,0.000
2.466667,91592.431,70805.647,9290.432,3485.549,0.000,0.000,0.000
2.483333,92540.445,71633.613,9488.838,3654.526,0.000,0.000,0.000
2.500000,93488.555,72461.778,9687.756,3825.236,0.000,0.000,0.000
2.516667,94436.755,73290.136,9887.171,3997.618,0.000,0.000,0.000
2.533333,95385.043,74118.680,10087.073,4171.617,0.000,0.000,0.000
2.550000,96333.416,74947.406,10287.451,4347.177,0.000,0.000,0.000
2.566667,97281.872,75776.307,10488.293,4524.248,0.000,0.000,0.000
2.583333,98230.406,76605.378,10689.589,4702.783,0.000,0.000,0.000
2.600000,99179.018,77434.614,10891.330,4882.735,0.000,0.000,0.000
2.616667,100127.703,78264.011,11093.506,5064.061,0.000,0.000,0.000
2.633333,101076.461,79093.564,11296.107,5246.722,0.000,0.000,0.000
2.650000,102025.287,79923.269,11499.125,5430.677,0.000,0.000,0.000
2.666667,102974.181,80753.121,11702.553,5615.890,0.000,0.000,0.000
2.683333,103923.141,81583.116,11906.380,5802.326,0.000,0.000,0.000
2.700000,104872.163,82413.250,12110.601,5989.951,0.000,0.000,0.000
2.716667,105821.247,83243.521,12315.208,6178.733,0.000,0.000,0.000
2.733333,106770.390,84073.923,12520.192,6368.642,0.000,0.000,0.000
2.750000,107719.591,84904.454,12725.548,6559.649,0.000,0.000,0.000
2.766667,108668.848,85735.111,12931.269,6751.725,0.000,0.000,0.000
2.783333,109618.159,86565.890,13137.349,6944.844,0.000,0.000,0.000
2.800000,110567.523,87396.788,13343.780,7138.980,0.000,0.000,0.000
2.816667,111516.938,88227.803,13550.558,7334.109,0.000,0.000,0.000
2.833333,112466.403,89058.932,13757.677,7530.207,0.000,0.000,0.000
2.850000,113415.917,89890.172,13965.130,7727.252,0.000,0.000,0.000
2.866667,114365.477,90721.520,14172.913,7925.221,0.000,0.000,0.000
2.883333,115315.084,91552.975,14381.020,8124.094,0.000,0.000,0.000
2.900000,116264.736,92384.533,14589.447,8323.852,0.000,0.000,0.000
2.916667,117214.431,93216.193,14798.188,8524.474,0.000,0.000,0.000
2.933333,118164.169,94047.952,15007.239,8725.942,0.000,0.000,0.000
2.950000,119113.948,94879.809,15216.596,8928.238,0.000,0.000,0.000
2.966667,120063.768,95711.761,15426.252,9131.345,0.000,0.000,0.000
2.983333,121013.627,96543.807,15636.206,9335.246,0.000,0.000,0.000
3.000000,121963.525,97375.945,15846.452,9539.925,0.000,0.000,0.000
3.016667,122913.461,98208.172,16056.986,9745.366,0.000,0.000,0.000
3.033333,123863.433,99040.488,16267.804,9951.555,0.000,0.000,0.000
3.050000,124813.442,99872.890,16478.903,10158.477,0.000,0.000,0.000
3.066667,125763.486,100705.378,16690.279,10366.118,0.000,0.000,0.000
3.083333,126713.564,101537.949,16901.927,10574.465,0.000,0.000,0.000
3.100000,127663.676,102370.603,17113.846,10783.503,0.000,0.000,0.000
3.116667,128613.822,103203.337,17326.031,10993.222,0.000,0.000,0.000
3.133333,129564.000,104036.151,17538.479,11203.607,0.000,0.000,0.000
3.150000,130514.209,104869.043,17751.186,11414.648,0.000,0.000,0.000
3.166667,131464.450,105702.012,17964.151,11626.333,0.000,0.000,0.000
3.183333,132414.721,106535.058,18177.369,11838.650,0.000,0.000,0.000
3.200000,133365.023,107368.177,18390.837,12051.590,0.000,0.000,0.000
3.216667,134315.354,108201.371,18604.553,12265.140,0.000,0.000,0.000
3.233333,135265.714,109034.637,18818.514,12479.291,0.000,0.000,0.000
3.250000,136216.102,109867.975,19032.716,12694.033,0.000,0.000,0.000
3.266667,137166.519,110701.384,19247.159,12909.357,0.000,0.000,0.000
3.283333,138116.963,111534.862,19461.837,13125.252,0.000,0.000,0.000
3.300000,139067.434,112368.409,19676.750,13341.710,0.000,0.000,0.000
3.316667,140017.932,113202.024,19891.895,13558.722,0.000,0.000,0.000
3.333333,140968.456,114035.706,20107.268,13776.279,0.000,0.000,0.000
3.350000,141919.007,114869.455,20322.868,13994.373,0.000,0.000,0.000
3.366667,142869.582,115703.269,20538.693,14212.995,0.000,0.000,0.000
3.383333,143820.183,116537.148,20754.740,14432.139,0.000,0.000,0.000
3.400000,144770.809,117371.090,20971.006,14651.795,0.000,0.000,0.000
3.416667,145721.459,118205.097,21187.490,14871.956,0.000,0.000,0.000
3.433333,146672.133,119039.165,21404.189,15092.615,0.000,0.000,0.000
3.450000,147622.831,119873.296,21621.102,15313.765,0.000,0.000,0.000
3.466667,148573.553,120707.489,21838.226,15535.398,9.519,0.000,0.000
3.483333,149524.298,121541.742,22055.559,15757.508,49.801,0.000,0.000
3.500000,150475.065,122376.055,22273.099,15980.088,110.101,0.000,0.000
3.516667,151425.856,123210.428,22490.845,16203.131,186.246,0.000,0.000
3.533333,152376.669,124044.860,22708.793,16426.630,275.790,0.000,0.000
3.550000,153327.504,124879.350,22926.944,16650.580,377.087,0.000,0.000
3.566667,154278.361,125713.899,23145.294,16874.974,488.932,0.000,0.000
3.583333,155229.239,126548.505,23363.841,17099.805,610.391,0.000,0.000
3.600000,156180.140,127383.167,23582.585,17325.068,740.713,0.000,0.000
3.616667,157131.061,128217.887,23801.523,17550.756,879.272,0.000,0.000
3.633333,158082.003,129052.663,24020.654,17776.863,1025.540,0.000,0.000
3.650000,159032.967,129887.494,24239.975,18003.383,1179.059,0.000,0.000
3.666667,159983.951,130722.380,24459.486,18230.311,1339.428,0.000,0.000
3.683333,160934.955,131557.321,24679.184,18457.639,1506.294,0.000,0.000
3.700000,161885.980,132392.317,24899.068,18685.363,1679.339,0.000,0.000
3.716667,162837.024,133227.366,25119.136,18913.477,1858.278,0.000,0.000
3.733333,163788.089,134062.470,25339.387,19141.975,2042.851,0.000,0.000
3.750000,164739.173,134897.626,25559.819,19370.851,2232.824,0.000,0.000
3.766667,165690.277,135732.835,25780.431,19600.099,2427.977,0.000,0.000
3.783333,166641.400,136568.097,26001.220,19829.715,2628.113,0.000,0.000
3.800000,167592.543,137403.411,26222.186,20059.693,2833.045,0.000,0.000
3.816667,168543.704,138238.776,26443.327,20290.026,3042.602,0.000,0.000
3.833333,169494.885,139074.193,26664.640,20520.710,3256.623,0.000,0.000
3.850000,170446.085,139909.661,26886.126,20751.739,3474.959,0.000,0.000
3.866667,171397.303,140745.181,27107.781,20983.106,3697.469,0.000,0.000
3.883333,172348.539,141580.750,27329.605,21214.806,3924.022,0.000,0.000
3.900000,173299.795,142416.370,27551.595,21446.833,4154.492,0.000,0.000
3.916667,174251.068,143252.040,27773.751,21679.182,4388.763,0.000,0.000
3.933333,175202.360,144087.759,27996.071,21911.846,4626.724,0.000,0.000
3.950000,176153.669,144923.528,28218.552,22144.821,4868.270,0.000,0.000
3.966667,177104.997,145759.346,28441.194,22378.102,5113.300,0.000,0.000
3.983333,178056.342,146595.213,28663.996,22611.682,5361.721,0.000,0.000
4.000000,179007.706,147431.128,28886.954,22845.558,5613.442,0.000,0.000
4.016667,179959.086,148267.092,29110.068,23079.724,5868.377,0.000,0.000
4.033333,180910.485,149103.103,29333.336,23314.175,6126.444,0.000,0.000
4.050000,181861.900,149939.163,29556.755,23548.906,6387.565,0.000,0.000
4.066667,182813.333,150775.270,29780.326,23783.914,6651.665,0.000,0.000
4.083333,183764.784,151611.424,30004.045,24019.192,6918.672,0.000,0.000
4.100000,184716.251,152447.625,30227.910,24254.737,7188.518,0.000,0.000
4.116667,185667.735,153283.873,30451.921,24490.544,7461.135,0.000,0.000
4.133333,186619.237,154120.167,30676.076,24726.609,7736.462,0.000,0.000
4.150000,187570.755,154956.508,30900.372,24962.928,8014.437,0.000,0.000
4.166667,188522.290,155792.895,31124.808,25199.496,8295.002,0.000,0.000
4.183333,189473.841,156629.327,31349.382,25436.310,8578.099,0.000,0.000
