reach,downstream_node,upstream_node,length_m,slope_eq,bottom_width_eq_m,side_slope_eq,depth_eq_m,manning_eq,best_factor,depth_rmse_m,depth_nse,q_rmse_m3s,q_nse,depth_peak_time_error_h,q_peak_time_error_h,applicability
89→71,89,71,767.2302346993588,0.00018628392845740515,25.0,0.48773258856586144,3.84,0.025,0.75,0.07059034701127834,0.6024959423187622,10.52229483923965,-2.9992040654769085,0.0,-8.25,仅水深可参考
150→89,150,89,2678.2827973736885,0.00043616122492568643,25.0,0.4877325885658615,3.84,0.025,4.0,0.5048310532913427,-19.859260562049588,42.38496643363577,-63.46872295860922,0.16666666666666666,0.08333333333333333,不适用
194→150,194,150,1919.9799305545175,0.00026041938878787805,25.0,0.4877325885658615,3.8399999999999994,0.025,4.0,0.2799677178025939,-3.683769284900821,31.51182176825246,-29.643023452466654,-0.16666666666666669,-8.666666666666666,不适用
287→194,287,194,4079.4095090281207,5e-05,25.0,0.4877325885658615,3.84,0.025,4.0,0.3968770135992874,-9.846894555258832,31.221254437285964,-11.144317566689214,-0.5,-8.666666666666666,不适用
349→287,349,287,2701.561793929319,0.0001470901478487117,25.0,0.4877325885658615,3.84,0.025,4.0,0.0747829960230833,0.727701245141499,7.164726753827558,-0.5882163922024621,0.08333333333333333,0.08333333333333333,仅水深可参考
383→349,383,349,1477.5201739786753,7.868411062289871e-05,25.0,0.4877325885658615,3.8400000000000003,0.025,4.0,0.19585672569772772,-0.42326248286218093,25.162311482536044,-21.65408479217494,-0.16666666666666666,0.0,不适用
456→383,456,383,3202.282652488644,0.00023619698745324332,25.0,0.48773258856586155,3.8399999999999994,0.025,4.0,0.5831326233175006,-11.056459561379112,21.665617956732632,-11.524042424455772,0.0,-0.08333333333333334,不适用
