node,specified_qmax_m3s,branch_node,branch_safe_capacity_m3s,demand_m3,first_positive_time_h,close_time_h,final_supplied_m3,demand_satisfied
71,20.000,4372,70.656,250000.000,0.666667,6.166667,250000.000,True
89,20.000,4384,88.319,300000.000,0.833333,7.166667,300000.000,True
150,5.000,4643,10.915,60000.000,1.166667,6.833333,60000.000,True
194,5.000,4673,10.915,80000.000,1.500000,7.333333,80000.000,True
287,12.000,4396,88.319,160000.000,3.166667,9.166667,160000.000,True
349,5.000,4707,10.915,50000.000,3.833333,9.500000,50000.000,True
383,5.000,4730,10.915,40000.000,4.500000,10.166667,40000.000,True
